Dataset,SSL_Model,Architecture,Seed,Balanced_Accuracy,Majority_Accuracy,Bal_Acc_Delta,Prediction_Entropy,Is_Collapsed_Binary
edaic,wavlm-base-plus,Bi-GRU + Attention,13,0.6274509803921569,0.7391304347826086,-0.1116794543904518,0.9986359641585718,0
edaic,wavlm-base-plus,Bi-GRU + Attention,42,0.48039215686274506,0.7391304347826086,-0.2587382779198636,0.8865408928220899,0
edaic,wavlm-base-plus,Bi-GRU + Attention,87,0.5098039215686274,0.7391304347826086,-0.22932651321398123,0.9321115676166747,0
edaic,wavlm-base-plus,Transformer Encoder,13,0.6029411764705883,0.7391304347826086,-0.13618925831202033,0.9321115676166747,0
edaic,wavlm-base-plus,Transformer Encoder,42,0.5,0.7391304347826086,-0.23913043478260865,0.0,1
edaic,wavlm-base-plus,Transformer Encoder,87,0.5,0.7391304347826086,-0.23913043478260865,0.0,1
edaic,w2v2-robust,Bi-GRU + Attention,13,0.5441176470588236,0.7391304347826086,-0.19501278772378505,0.9876925088958033,0
edaic,w2v2-robust,Bi-GRU + Attention,42,0.5441176470588236,0.7391304347826086,-0.19501278772378505,0.9876925088958033,0
edaic,w2v2-robust,Bi-GRU + Attention,87,0.5441176470588236,0.7391304347826086,-0.19501278772378505,0.9876925088958033,0
edaic,w2v2-robust,Transformer Encoder,13,0.5098039215686274,0.7391304347826086,-0.22932651321398123,0.9321115676166747,0
edaic,w2v2-robust,Transformer Encoder,42,0.5,0.7391304347826086,-0.23913043478260865,0.0,1
edaic,w2v2-robust,Transformer Encoder,87,0.5,0.7391304347826086,-0.23913043478260865,0.0,1
modma,wavlm-base-plus,Bi-GRU + Attention,13,0.6,0.5,0.09999999999999998,0.4689955935892812,0
modma,wavlm-base-plus,Bi-GRU + Attention,42,0.5,0.5,0.0,0.0,1
modma,wavlm-base-plus,Bi-GRU + Attention,87,0.5,0.5,0.0,0.0,1
modma,wavlm-base-plus,Transformer Encoder,13,0.6,0.5,0.09999999999999998,0.4689955935892812,0
modma,wavlm-base-plus,Transformer Encoder,42,0.5,0.5,0.0,0.0,1
modma,wavlm-base-plus,Transformer Encoder,87,0.5,0.5,0.0,0.0,1
modma,w2v2-robust,Bi-GRU + Attention,13,0.5,0.5,0.0,0.0,1
modma,w2v2-robust,Bi-GRU + Attention,42,0.5,0.5,0.0,0.0,1
modma,w2v2-robust,Bi-GRU + Attention,87,0.5,0.5,0.0,0.0,1
modma,w2v2-robust,Transformer Encoder,13,0.5,0.5,0.0,0.0,1
modma,w2v2-robust,Transformer Encoder,42,0.5,0.5,0.0,0.0,1
modma,w2v2-robust,Transformer Encoder,87,0.5,0.5,0.0,0.0,1
