Dataset,SSL_Model,Architecture,Variant,F1_mean,F1_std
edaic,wavlm-base-plus,Bi-GRU + Attention,learned,0.40505899329428735,0.046872325038174276
edaic,wavlm-base-plus,Bi-GRU + Attention,uniform,0.39829059829059826,0.052353479764490785
edaic,wavlm-base-plus,Transformer Encoder,learned,0.41871921182266,0.006966569272773859
edaic,wavlm-base-plus,Transformer Encoder,uniform,0.41871921182266,0.006966569272773859
edaic,w2v2-robust,Bi-GRU + Attention,learned,0.375,0.0
edaic,w2v2-robust,Transformer Encoder,learned,0.40284619594964416,0.015481265050608602
modma,wavlm-base-plus,Bi-GRU + Attention,learned,0.1111111111111111,0.15713484026367722
modma,wavlm-base-plus,Transformer Encoder,learned,0.1111111111111111,0.15713484026367722
modma,w2v2-robust,Bi-GRU + Attention,learned,0.6666666666666666,0.0
modma,w2v2-robust,Transformer Encoder,learned,0.6666666666666666,0.0
