Dataset,SSL_Model,Architecture,Seed,Accuracy,Acc_Boot_CI_Low,Acc_Boot_CI_High,Acc_CP_CI_Low,Acc_CP_CI_High,F1_Score,F1_Boot_CI_Low,F1_Boot_CI_High
edaic,wavlm-base-plus,Bi-GRU + Attention,13,0.6086956521739131,0.391304347826087,0.782608695652174,0.3854189573888496,0.8029235760309856,0.4705882352941177,0.14285714285714285,0.7499999999999999
edaic,wavlm-base-plus,Bi-GRU + Attention,42,0.391304347826087,0.17391304347826086,0.5652173913043478,0.1970764239690144,0.6145810426111503,0.36363636363636365,0.09523809523809525,0.5833333333333334
edaic,wavlm-base-plus,Bi-GRU + Attention,87,0.43478260869565216,0.21739130434782608,0.6097826086956513,0.23191419953823145,0.6550533925476254,0.3809523809523809,0.1,0.6153846153846153
edaic,wavlm-base-plus,Transformer Encoder,13,0.6521739130434783,0.43478260869565216,0.8695652173913043,0.42734396303649436,0.8362364016250501,0.42857142857142855,0.0,0.75
edaic,wavlm-base-plus,Transformer Encoder,42,0.2608695652173913,0.08695652173913043,0.43478260869565216,0.10228613391535846,0.48405197040243814,0.41379310344827586,0.16,0.6060606060606061
edaic,wavlm-base-plus,Transformer Encoder,87,0.2608695652173913,0.08695652173913043,0.4782608695652174,0.10228613391535846,0.48405197040243814,0.41379310344827586,0.16,0.6470588235294118
edaic,w2v2-robust,Bi-GRU + Attention,13,0.5652173913043478,0.3902173913043479,0.7391304347826086,0.3449466074523746,0.7680858004617686,0.37499999999999994,0.0,0.6666666666666665
edaic,w2v2-robust,Bi-GRU + Attention,42,0.5652173913043478,0.391304347826087,0.7391304347826086,0.3449466074523746,0.7680858004617686,0.37499999999999994,0.0,0.6666666666666665
edaic,w2v2-robust,Bi-GRU + Attention,87,0.5652173913043478,0.34782608695652173,0.7391304347826086,0.3449466074523746,0.7680858004617686,0.37499999999999994,0.0,0.6251644736842105
edaic,w2v2-robust,Transformer Encoder,13,0.43478260869565216,0.21739130434782608,0.6521739130434783,0.23191419953823145,0.6550533925476254,0.3809523809523809,0.10526315789473684,0.6153846153846154
edaic,w2v2-robust,Transformer Encoder,42,0.2608695652173913,0.08695652173913043,0.43478260869565216,0.10228613391535846,0.48405197040243814,0.41379310344827586,0.16,0.6060606060606061
edaic,w2v2-robust,Transformer Encoder,87,0.2608695652173913,0.08695652173913043,0.43478260869565216,0.10228613391535846,0.48405197040243814,0.41379310344827586,0.16,0.6060606060606061
modma,wavlm-base-plus,Bi-GRU + Attention,13,0.6,0.3,0.9,0.26237807660694507,0.8784477418801728,0.33333333333333337,0.0,0.8
modma,wavlm-base-plus,Bi-GRU + Attention,42,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.0,0.0,0.0
modma,wavlm-base-plus,Bi-GRU + Attention,87,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.0,0.0,0.0
modma,wavlm-base-plus,Transformer Encoder,13,0.6,0.3,0.9,0.26237807660694507,0.8784477418801728,0.33333333333333337,0.0,0.8
modma,wavlm-base-plus,Transformer Encoder,42,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.0,0.0,0.0
modma,wavlm-base-plus,Transformer Encoder,87,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.0,0.0,0.0
modma,w2v2-robust,Bi-GRU + Attention,13,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.6666666666666666,0.33333333333333337,0.888888888888889
modma,w2v2-robust,Bi-GRU + Attention,42,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.6666666666666666,0.33333333333333337,0.888888888888889
modma,w2v2-robust,Bi-GRU + Attention,87,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.6666666666666666,0.33333333333333337,0.888888888888889
modma,w2v2-robust,Transformer Encoder,13,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.6666666666666666,0.33333333333333337,0.888888888888889
modma,w2v2-robust,Transformer Encoder,42,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.6666666666666666,0.33333333333333337,0.888888888888889
modma,w2v2-robust,Transformer Encoder,87,0.5,0.2,0.8,0.18708602844739855,0.8129139715526015,0.6666666666666666,0.33333333333333337,0.888888888888889
